latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
52.54833,13.407822,38,-18000,America/New_York,GMT-5
,,,,,
time,temperature_2m (%C),weather_code (wmo code),precipitation (mm),wind_speed_100m (km/h),
2024-10-20T05:00,13.5,0,0,16.9,
2024-10-20T06:00,15.1,1,0,13.5,
2024-10-20T07:00,16,3,0,12.4,
2024-10-20T08:00,16.6,3,0,16,
2024-10-20T09:00,16.4,3,0,16,
2024-10-20T10:00,15.6,3,0,20.1,
2024-10-20T11:00,14.1,3,0,23.8,
2024-10-20T12:00,13.6,3,0,26.5,
2024-10-20T13:00,13.6,3,0,26.1,
2024-10-20T14:00,13.7,3,0,27.2,
2024-10-20T15:00,13.4,3,0,27,
2024-10-20T16:00,13.5,3,0,29.3,
2024-10-20T17:00,13.8,3,0,30.3,
2024-10-20T18:00,14.4,3,0,30.1,
2024-10-20T19:00,14.2,3,0,29.4,
2024-10-20T20:00,14.3,3,0,26.5,
2024-10-20T21:00,14.2,3,0,29.5,
2024-10-20T22:00,14.2,3,0,31.1,
2024-10-20T23:00,14.4,3,0,30.1,
2024-10-21T00:00,14.7,51,0.2,29.4,
2024-10-21T01:00,14.4,53,0.6,29.7,
2024-10-21T02:00,14.7,3,0,27.7,
2024-10-21T03:00,14.8,51,0.2,26.1,
2024-10-21T04:00,16.4,3,0,24.3,
2024-10-21T05:00,17.2,3,0,21.3,
2024-10-21T06:00,18.2,3,0,21.4,
2024-10-21T07:00,17.9,3,0,19,
2024-10-21T08:00,18.8,53,0.8,17.2,
2024-10-21T09:00,17.3,53,0.8,18.2,
2024-10-21T10:00,16.8,51,0.4,18,
2024-10-21T11:00,16.3,51,0.1,16.6,
2024-10-21T12:00,16.2,3,0,18.4,
2024-10-21T13:00,16.1,3,0,13.4,
2024-10-21T14:00,15.2,0,0,10.9,
2024-10-21T15:00,14.3,3,0,15.2,
2024-10-21T16:00,14.1,3,0,18.3,
2024-10-21T17:00,13.9,3,0,20,
2024-10-21T18:00,13.8,3,0,18.6,
2024-10-21T19:00,13.8,3,0,18.6,
2024-10-21T20:00,13.4,3,0,20.2,
2024-10-21T21:00,13.4,2,0,18.6,
2024-10-21T22:00,12.9,2,0,24,
2024-10-21T23:00,12.4,0,0,25.6,
2024-10-22T00:00,12.2,0,0,28.7,
2024-10-22T01:00,12.1,0,0,28.9,
2024-10-22T02:00,13.2,3,0,26.4,
2024-10-22T03:00,14.5,3,0,27.6,
2024-10-22T04:00,16.2,1,0,30.4,
2024-10-22T05:00,18,3,0,37.4,
2024-10-22T06:00,17.1,3,0,37.8,
